row	cik	exchange	irs	name	sic	ticker	file
1312	1095099	OTC	980180010	Nortem NV	3559	MTCH	https://www.sec.gov/Archives/edgar/data/1095099/000110465904027311/0001104659-04-027311.txt
344	1023734	NYSE	330502730	BPZ Resources Inc	1311	BPZI	https://www.sec.gov/Archives/edgar/data/1023734/000143774915005136/0001437749-15-005136.txt
1386	886346	NYSE	521762325	Kadant Inc	3550	KAI	https://www.sec.gov/Archives/edgar/data/886346/000088634619000019/0000886346-19-000019.txt
475	864559	NASDAQ		Cascade Microtech Inc	3825	CSCD	https://www.sec.gov/Archives/edgar/data/864559/000119312516553724/0001193125-16-553724.txt
1523	1366751	NYSE MKT	223934207	MBF Healthcare Acquisition Corp	6770	MBH	https://www.sec.gov/Archives/edgar/data/1366751/000095014409002251/0000950144-09-002251.txt
2469	1349454	NYSE	202958261	Trulia Inc	7374	TRLA	https://www.sec.gov/Archives/edgar/data/1349454/000119312515070992/0001193125-15-070992.txt
928	940942	NASDAQ	364007085	Hub Group Inc	4731	HUBG	https://www.sec.gov/Archives/edgar/data/940942/000156459019005778/0001564590-19-005778.txt
2	1013243	OTC	42687849	Aaipharma Inc	8734	AAIIQ	https://www.sec.gov/Archives/edgar/data/1013243/000095014405004448/0000950144-05-004448.txt
1202	1507605	OTCBB	10949984	Marathon Patent Group Inc	6794	MARA	https://www.sec.gov/Archives/edgar/data/1507605/000149315219003868/0001493152-19-003868.txt
2147	1095373	OTC	582161804	Woodstock Holdings Inc	6211	WSFL	https://www.sec.gov/Archives/edgar/data/1095373/000094344012000234/0000943440-12-000234.txt
1879	1092753	OTC	841343219	SVC Financial Services Inc	7372	SVCX	https://www.sec.gov/Archives/edgar/data/1092753/000114090502000073/0001140905-02-000073.txt
873	1328208	OTC	870745202	Golden Gate Homes Inc	6531	GNGT	https://www.sec.gov/Archives/edgar/data/1328208/000118518513000409/0001185185-13-000409.txt
1524	1520047	OTCBB	320337695	Pharma Investing News Inc	7374	PINV	https://www.sec.gov/Archives/edgar/data/1520047/000151712614000201/0001517126-14-000201.txt
664	1382230	NASDAQ		Essa Bancorp Inc	6036	ESSA	https://www.sec.gov/Archives/edgar/data/1382230/000156459019046041/0001564590-19-046041.txt
1390	795266	NYSE	953666267	KB Home	1531	KBH	https://www.sec.gov/Archives/edgar/data/795266/000079526619000005/0000795266-19-000005.txt
1409	1100270	NYSE	562169715	Krispy Kreme Doughnuts Inc	5400	KKD	https://www.sec.gov/Archives/edgar/data/1100270/000120677416005268/0001206774-16-005268.txt
2650	813461	NYSE	510308535	Westcorp	6035	WES	https://www.sec.gov/Archives/edgar/data/813461/000089256905000125/0000892569-05-000125.txt
687	1437479	OTC	510661129	Enb Financial Corp	6021	ENBP	https://www.sec.gov/Archives/edgar/data/1437479/000117494719000461/0001174947-19-000461.txt
1228	914712	NASDAQ	42921333	Moduslink Global Solutions Inc	7389	MLNK	https://www.sec.gov/Archives/edgar/data/914712/000092189519002880/0000921895-19-002880.txt
729	1575311	NYSE	462616226	Brookfield Dtla Fund Office Trust Investor Inc	6798	DTLA	https://www.sec.gov/Archives/edgar/data/1575311/000157531119000001/0001575311-19-000001.txt
115	1488139	NYSE	43512838	Ameresco Inc	1700	AMRC	https://www.sec.gov/Archives/edgar/data/1488139/000148813919000022/0001488139-19-000022.txt
1488	1410690	OTC	980538119	Principle Security International Inc	7381	PCPZ	https://www.sec.gov/Archives/edgar/data/1410690/000109328711000035/0001093287-11-000035.txt
737	37358	OTC	952018730	Flamemaster Corp	2891	FAME	https://www.sec.gov/Archives/edgar/data/37358/000091205700054454/0000912057-00-054454.txt
1997	102212	NASDAQ	231886144	Univest Corp Of Pennsylvania	6022	UVSP	https://www.sec.gov/Archives/edgar/data/102212/000010221219000009/0000102212-19-000009.txt
1646	745981	NYSE	721020809	Midsouth Bancorp Inc	6021	MSL	https://www.sec.gov/Archives/edgar/data/745981/000074598119000041/0000745981-19-000041.txt
334	1323653	NASDAQ	364410887	Coleman Cable Inc	3357	CCIX	https://www.sec.gov/Archives/edgar/data/1323653/000119312513097057/0001193125-13-097057.txt
361	1334325	OTC	342008348	Coda Octopus Group Inc	3812	CDOC	https://www.sec.gov/Archives/edgar/data/1334325/000149315219005782/0001493152-19-005782.txt
1277	1323974	NASDAQ	20620757	Mwi Veterinary Supply Inc	5047	MWIV	https://www.sec.gov/Archives/edgar/data/1323974/000132397414000047/0001323974-14-000047.txt
1650	1034379	OTC	561870472	Blue Rhino Corp	5990	RINO	https://www.sec.gov/Archives/edgar/data/1034379/000095014403011677/0000950144-03-011677.txt
1972	1451512	OTCBB	263062661	Terra Tech Corp	3510	TRTC	https://www.sec.gov/Archives/edgar/data/1451512/000147793219000995/0001477932-19-000995.txt
1371	1017259	OTC	954090463	NMT Medical Inc	3841	NMTI	https://www.sec.gov/Archives/edgar/data/1017259/000119312510141919/0001193125-10-141919.txt
846	1090967	OTC	860951473	Global Energy Inc	2860	GEYI	https://www.sec.gov/Archives/edgar/data/1090967/000117891314001319/0001178913-14-001319.txt
1643	1100394	OTC	860955239	Redfin Network Inc	3580	RFNN	https://www.sec.gov/Archives/edgar/data/1100394/000119983512000162/0001199835-12-000162.txt
761	919865	OTCBB	382806518	Fentura Financial Inc	6022	FETM	https://www.sec.gov/Archives/edgar/data/919865/000119312512119253/0001193125-12-119253.txt
1868	1355839	OTCBB		Snap Interactive Inc	7389	STVI	https://www.sec.gov/Archives/edgar/data/1355839/000121390019004686/0001213900-19-004686.txt
