,company_name,count_tokens,average_sentence_length,percentage_complex_word,positive_score,negative_score,uncertainty_score,constraining_score
ABN_AMRO_Group_(2018).pdf,ABN_AMRO_Group,106119,106119,0.3049312564196798,834,1401,1728,686
AGNC_Investment_(2018).pdf,AGNC_Investment,47122,47122,0.3010907856203047,297,858,963,412
A_G_Barr_(2018).pdf,A_G_Barr,54311,54311,0.2729465485813187,662,461,457,230
Aboitiz_Power_(2018).pdf,Aboitiz_Power,68940,68940,0.261053089643168,262,529,425,224
Acer_(2018).pdf,Acer,89820,89820,0.3275328434647072,684,1134,572,443
Acom_(2018).pdf,Acom,41870,41870,0.2790542154287079,262,418,254,122
AerCap_Holdings_(2018).pdf,AerCap_Holdings,38483,38483,0.2896863550139022,249,451,484,180
Ainsworth_Game_Technology_(2018).pdf,Ainsworth_Game_Technology,32655,32655,0.2857755320777829,258,268,222,126
Austal_(2018).pdf,Austal,36513,36513,0.2384082381617506,264,353,276,144
Autohome_(2018).pdf,Autohome,115488,115488,0.28739782488223886,625,1611,1207,895
Automatic_Data_Processing_(2018).pdf,Automatic_Data_Processing,58323,58323,0.26258937297464124,371,810,537,649
Avianca_Holdings_(2018).pdf,Avianca_Holdings,186838,186838,0.26816814566629915,1003,2157,1645,1139
BAIC_Motor_Corporation_(2018).pdf,BAIC_Motor_Corporation,53794,53794,0.28696508904338774,326,402,276,163
BASF_(2018).pdf,BASF,131341,131341,0.28602645023260065,1167,1365,1039,548
BCE_(2018).pdf,BCE,78140,78140,0.30586127463527,834,853,860,427
BE_Semiconductor_Industries_(2018).pdf,BE_Semiconductor_Industries,67024,67024,0.29168656003819526,596,889,795,322
BHP_Group_(UK)_(2018).pdf,BHP_Group_(UK),165403,165403,0.29913604952751766,1124,2087,1596,803
Bid_Corporation_(2018).pdf,Bid_Corporation,26980,26980,0.26664195700518906,235,193,230,117
CTT_Correios_de_Portugal_(2018).pdf,CTT_Correios_de_Portugal,118361,118361,0.2772450384839601,812,1192,810,478
Canon_(2018).pdf,Canon,35111,35111,0.3117256700179431,386,324,290,144
Capita_Group_(2018).pdf,Capita_Group,109856,109856,0.28600167491989514,1135,1313,1117,635
